"reviewer_id","state","city","street","latitude","longitude","rating_count","review_time","review_date","days_since_review","rating_num"
"28449","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","3"
"28450","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","5"
"28451","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","1"
"28452","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","6 years ago","2019-06-03","2190","4"
"28453","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","7 months ago","2024-11-03","210","3"
"28454","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","5"
"28455","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","5"
"28456","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","2"
"28457","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","5"
"28458","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","2"
"28459","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","2"
"28460","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","1"
"28461","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","4"
"28462","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 months ago","2025-02-01","120","5"
"28463","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","1"
"28464","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 months ago","2025-04-02","60","5"
"28465","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","4"
"28466","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","9 months ago","2024-09-04","270","3"
"28467","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","5"
"28468","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","5"
"28469","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","4"
"28470","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","5"
"28471","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","5"
"28472","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","10 years ago","2015-06-04","3650","3"
"28473","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","5"
"28474","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","6 years ago","2019-06-03","2190","3"
"28475","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 months ago","2025-02-01","120","5"
"28476","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","2"
"28477","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","5"
"28478","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","2"
"28479","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","2"
"28480","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","5"
"28481","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","4"
"28482","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","2"
"28483","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","8 years ago","2017-06-03","2920","1"
"28484","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","2"
"28485","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","2"
"28486","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","10 months ago","2024-08-05","300","4"
"28487","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","3"
"28488","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","1"
